[INFO] 2016-05-06 14:13:31,962 views tag1
[INFO] 2016-05-06 14:13:32,426 views tag1
[INFO] 2016-05-06 14:16:44,504 views tag1
[INFO] 2016-05-06 14:16:44,703 views tag1
[DEBUG] 2016-05-06 14:18:23,505 views tag2
[INFO] 2016-05-06 14:18:23,521 views tag search returned 4 whiskies
[DEBUG] 2016-05-06 14:18:23,732 views tag2
[INFO] 2016-05-06 14:18:23,732 views tag search returned 4 whiskies
[INFO] 2016-05-06 14:20:50,297 views tag3
[INFO] 2016-05-06 14:20:50,515 views tag3
[DEBUG] 2016-05-06 14:23:16,017 views tag4
[DEBUG] 2016-05-06 14:23:16,216 views tag4
[DEBUG] 2016-05-06 14:23:38,129 views tag3
[DEBUG] 2016-05-06 14:23:38,283 views tag3
