Bottle,Price,Rating,Region,apple,banana,cherry,citrus,fruity,lemon,orange,pear,raisins,zest,balanced,complex,dry,earthy,heavy,light,lingering,mellow,mild,old,smooth,barley,buttery,butterscotch,candy,chocolate,cinnamon,cocoa,corn,honey,tea,toffee,clove,coffee,floral,licorice,malty,mint,nutmeg,peaty,peppery,roses,spices,sugar,tobacco,vanilla,wood,sherry,bitter,brine,creamy,ginger,herbal,maple,nutty,oak,rich,salty,smokey,sour,spicy,sweet,amber,brown,green,caramel,pal
1792 Ridgemont Reserve,22.204,82.45454545454545,Bourbon,,,,,,,2.0,,,1.0,,,,,2.0,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,,,,,1.0,,,2.0,,4.0,,,,,2.0,,4.0,,,,,,,,2.0,2.0,3.0,
Aberfeldy 12,40.41818181818182,77.75,Highland ,1.0,,5.0,,2.0,7.0,,1.0,,,,1.0,,,,,,,,,,,,,,5.0,,,,3.0,,2.0,,,1.0,,,,,,,,,,,4.0,2.0,2.0,,,,,,,,7.0,3.0,,,,,6.0,,,2.0,,
Aberlour 10,23.785999999999998,78.88,Speyside,,,,,,,,,,,1.0,,,,,2.0,,,,2.0,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,5.0,,2.0,,,,,,,,,2.0,,,,,3.0,,,,1.0,
Aberlour 12 Double Cask Matured,35.92540540540541,83.67441860465117,Speyside,,,4.0,,,4.0,2.0,,,,,,,,,4.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,6.0,,,,,,,,3.0,,,,,,,,,,,
Aberlour 12 Non Chill Filtered,54.11566666666667,89.38636363636364,Speyside,,,8.0,3.0,6.0,,,,,1.0,,9.0,,,8.0,12.0,10.0,2.0,6.0,2.0,6.0,,4.0,,,,22.0,,,,,21.0,,,5.0,,,,,,,,,,,2.0,1.0,28.0,4.0,,,,,2.0,,31.0,13.0,4.0,,5.0,6.0,38.0,,,10.0,2.0,
Aberlour 12 Sherry Cask Matured,23.78,81.0,Speyside,,,1.0,,1.0,,4.0,,,,,,,,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,3.0,,,,5.0,
Aberlour 16,54.86176470588235,86.04166666666667,Speyside,,,,,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,4.0,,,,,,,,3.0,,,,,,2.0,,,,,
Aberlour 18,86.25,87.46666666666667,Speyside,,,,,,,,,,,,,,,,,,,,1.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,,,,4.0,,,,,,2.0,,,3.0,
Aberlour A'bunadh,60.896428571428565,90.04545454545455,Speyside,,,2.0,,3.0,,5.0,,8.0,,2.0,,2.0,,,,,,,,,,,,,14.0,,,,3.0,,,,,,,,,,,,,,,,10.0,1.0,20.0,,,1.0,,,,,5.0,9.0,,,,,2.0,4.0,,,,
Aberlour A'bunadh batch #36,45.06666666666667,92.88888888888889,Speyside,5.0,,14.0,,2.0,4.0,2.0,,,1.0,2.0,1.0,,,,6.0,2.0,,,,,,1.0,,,10.0,4.0,,,,,4.0,,,1.0,,,,1.0,,1.0,,14.0,1.0,,,,2.0,,,,1.0,,,,,5.0,,,2.0,1.0,8.0,,,,10.0,
Aberlour A'bunadh batch #39,58.146153846153844,88.66666666666667,Speyside,5.0,,14.0,,2.0,4.0,2.0,,,1.0,2.0,1.0,,,,6.0,2.0,,,,,,1.0,,,10.0,4.0,,,,,4.0,,,1.0,,,,1.0,,1.0,,14.0,1.0,,,,2.0,,,,1.0,,,,,5.0,,,2.0,1.0,8.0,,,,10.0,
Aberlour A'bunadh batch #40,64.3,89.9,Speyside,5.0,,14.0,,2.0,4.0,2.0,,,1.0,2.0,1.0,,,,6.0,2.0,,,,,,1.0,,,10.0,4.0,,,,,4.0,,,1.0,,,,1.0,,1.0,,14.0,1.0,,,,2.0,,,,1.0,,,,,5.0,,,2.0,1.0,8.0,,,,10.0,
